Título;;;;;;;;;;
V: Tipo de vivienda;;;;;;;;;;
Área Geográfica;;;;;;;;;;
Lima;;;;;;;;;;
Universo;;;;;;;;;;
Viviendas Particulares;;;;;;;;;;
;;;;;;;;;;
;Código;Distrito;Casa Independiente;Departamento en edificio;Vivienda en quinta;Vivienda en casa de vecindad (Callejón, solar o corralón);Choza o cabaña;Vivienda improvisada;Local no destinado para habitación humana;
;150502;Lima, Cañete, distrito: Asia;   6 285;    2;    0;    15;    0;    17;    5;
;150503;Lima, Cañete, distrito: Calango;   1 314;    0;    11;    0;    17;    2;    0;
;150504;Lima, Cañete, distrito: Cerro Azul;   5 005;    162;    21;    14;    4;    54;    3;
;150505;Lima, Cañete, distrito: Chilca;   6 643;    32;    31;    50;    13;    42;    10;
;150506;Lima, Cañete, distrito: Coayllo;    985;    0;    0;    2;    113;    1;    1;
;150507;Lima, Cañete, distrito: Imperial;   11 150;    208;    126;    80;    0;    495;    11;
;150508;Lima, Cañete, distrito: Lunahuana;   2 182;    37;    3;    11;    8;    7;    1;
;150509;Lima, Cañete, distrito: Mala;   9 691;    195;    95;    100;    22;    73;    7;
;150510;Lima, Cañete, distrito: Nuevo Imperial;   9 377;    8;    11;    16;    43;    256;    6;
;150511;Lima, Cañete, distrito: Pacaran;    857;    0;    0;    0;    2;    0;    0;
;150512;Lima, Cañete, distrito: Quilmana;   6 360;    24;    4;    19;    4;    116;    3;
;150513;Lima, Cañete, distrito: San Antonio;   2 704;    32;    0;    5;    2;    51;    6;
;150514;Lima, Cañete, distrito: San Luis;   4 189;    12;    47;    9;    52;    51;    7;
;150515;Lima, Cañete, distrito: Santa Cruz de Flores;   1 543;    0;    2;    0;    3;    36;    4;
;150516;Lima, Cañete, distrito: Zúñiga;    693;    0;    0;    0;    0;    0;    0;
;150601;Lima, Huaral, distrito: Huaral;   27 239;   1 759;    461;    603;    29;    130;    32;
;150602;Lima, Huaral, distrito: Atavillos Alto;   1 163;    0;    0;    0;    40;    0;    1;
